,cav,cik,date
94,14.807726982781473,812444,1995-06-26
95,1.788802354920145,81870,1995-04-21
96,15.502452502151922,731859,1995-06-15
97,-3.7318555816799237,752692,1995-04-28
98,9.008460117111738,353020,1995-05-03
99,3.9041358922651477,64040,1995-05-02
100,-5.662153721204864,831001,1995-06-30
101,3.2336451186414736,920148,1995-05-12
102,3.1963726702344815,858452,1995-05-02
103,3.7356944494682485,74697,1995-05-23
104,5.619679524332114,57131,1995-05-10
105,5.193464796993135,216430,1995-04-10
106,12.415613448543532,774214,1995-05-18
107,-5.340183189879988,3753,1995-06-09
108,4.045044654157239,700997,1995-05-24
109,7.371327536828005,718077,1995-04-28
110,-2.2871789654201518,56868,1995-05-05
111,-1.430824651477287,78239,1995-04-28
112,2.425223272487756,2601,1995-04-20
113,6.180650958863817,844843,1995-06-27
114,16.737815034442754,356799,1995-05-03
115,0.20628450678612975,778161,1995-04-03
116,3.5274716368141017,10048,1995-06-12
117,-1.4683706564482901,84278,1995-05-02
118,6.909423435647993,709355,1995-04-11
119,-6.663388345513424,719164,1995-04-12
120,4.612870394546663,79958,1995-05-22
121,-7.958111546350977,719612,1995-06-12
122,17.430243280265547,802223,1995-06-02
123,-0.1152288453911956,785080,1995-05-15
124,16.936125397849498,796038,1995-05-24
125,-5.5385647075846505,14803,1995-06-27
126,5.1702303726332755,72162,1995-04-25
127,6.099639032758449,15615,1995-05-12
128,-9.833178527049737,719413,1995-06-06
129,-5.870401628087439,756055,1995-04-12
130,-1.2102309741710786,14280,1995-06-12
131,2.361204901630263,19704,1995-05-19
132,-0.6368739789736972,107203,1995-05-30
133,-1.8620794683285198,354869,1995-04-27
134,4.563197631515645,798953,1995-05-30
135,-10.769957069835192,788329,1995-05-26
136,-2.5024157774896816,788964,1995-06-13
137,16.088889266124724,793306,1995-09-08
138,3.7200666383150987,40858,1995-09-29
139,1.1010141726471045,855587,1995-08-04
140,-14.317803595201818,820626,1995-08-23
